,name,ratings,no_of_ratings,discount_price,actual_price,brand,size,color,resolution,type
594,VINDIAN Smart LED TV,,,8999.0,12500.0,Generic,,,,Smart TV
595,"V-SKY Full HD Bright Colour Smart LED TV  (135 WATT) (Black) (43"" Inches) (43EK2600)",,,,,Generic,43.0,BLACK,FULL HD,Smart TV
596,"V-SKY Full HD Bright Colour Smart LED TV with Voice Remote and Bluetooth (135 WATT) (Black) (43"" Inches) (43EK7900)",,,,,Generic,43.0,BLUE,FULL HD,Smart TV
597,"V-SKY Full HD Bright Colour Smart LED TV  (135 WATT) (Black) (32"" Inches) (32EK260)",,,,,Generic,32.0,BLACK,FULL HD,Smart TV
598,"V-SKY Full HD Bright Colour Smart LED TV with Voice Remote and Bluetooth (135 WATT) (Black) (43"" Inches) (43EKU7900)",,,,,Generic,43.0,BLUE,FULL HD,Smart TV
599,"V-SKY Full HD Bright Colour Smart LED TV with Voice Remote and Bluetooth (135 WATT) (Black) (32"" Inches) (32EK790)",,,,,Generic,32.0,BLUE,FULL HD,Smart TV
600,INVANTER 2022 Model Smart TV 24 INCH Frameless,,,13990.0,14990.0,INVANTER,24.0,,,Smart TV
601,INVANTER 2022 Model Smart TV 32 INCH Frameless-Smart Tv,,,13490.0,20990.0,INVANTER,32.0,,,Smart TV
602,INVANTER 2022 Model Smart TV 32 INCH Frameless,,,20990.0,21990.0,INVANTER,32.0,,,Smart TV
603,INVANTER 2022 Model Smart TV 55 INCH Frameless,,,59990.0,60990.0,INVANTER,55.0,,,Smart TV
604,INVANTER 2022 Model Smart TV 43 INCH Frameless,,,35990.0,36990.0,INVANTER,43.0,,,Smart TV
605,SAVI MOBI World 32 Inches LED TV| HD Ready Smart LED TV | Ultra Technology Smart LED,,,10599.0,13599.0,Generic,32.0,,HD,LED TV
606,SAVI MOBI World 50 Inches LED Television | Smart Technology LED | Android Smart LED TV,,,27499.0,29499.0,Generic,50.0,,,Smart TV
607,SAVI MOBI World 108 cm (43 inches) DJ Sound Series 4K Smart Google TV| Smart LED Television,,,17499.0,19999.0,Generic,43.0,,4K,Smart TV
609,60 cm (24 inches) HD Ready LED TV (Black),,,,,Generic,24.0,BLACK,HD,LED TV
